"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"PromotionAndTreatment","PromotionAndTreatment","","","",0,*,"","","","null {[]} {[]}
","Promotion and Treatment ","Data elements for the counselling and treatment task of the workflow							","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"PromotionAndTreatment.counsellingOnHealthyEatingPhysicallyActive","PromotionAndTreatment.counsellingOnHealthyEatingPhysicallyActive","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling on healthy eating and keeping physically active","ANC - ANC.B10. Counselling on healthy eating and keeping physically active","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#G6qtfHN4Vy1
",,,,"PromotionAndTreatment.counsellingOnHealthyEatingPhysicallyActive",0,1,"",""
"PromotionAndTreatment.arvProphylaxisForTheUnBornInfantsProvided","PromotionAndTreatment.arvProphylaxisForTheUnBornInfantsProvided","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAT ARV prophylaxis for the un born infants provided","ANC - PAT ARV prophylaxis for the un born infants provided","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#O2SnmbwvwOb
",,,,"PromotionAndTreatment.arvProphylaxisForTheUnBornInfantsProvided",0,1,"",""
"PromotionAndTreatment.malePartnerSelfTestingKitProvided","PromotionAndTreatment.malePartnerSelfTestingKitProvided","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC LAB Male partner self testing kit provided","ANC - ANC LAB Male partner self testing kit provided","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#pB9VLth3i2W
",,,,"PromotionAndTreatment.malePartnerSelfTestingKitProvided",0,1,"",""
"PromotionAndTreatment.malePartnerSelfTestingKitResults","PromotionAndTreatment.malePartnerSelfTestingKitResults","","","",0,1,"","","","code {[]} {[]}
","ANC - ANC LAB Male Partner self testing kit results","ANC - ANC LAB Male Partner self testing kit results","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/ANCLABMalePartnerSelfTestingKitResultsVS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#GjOg2r7Wvm1
",,,,"PromotionAndTreatment.malePartnerSelfTestingKitResults",0,1,"",""
"PromotionAndTreatment.hepatitisBTreatmentProvided","PromotionAndTreatment.hepatitisBTreatmentProvided","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAT Hepatitis B Treatment Provided","ANC - PAT Hepatitis B Treatment Provided","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#MXOfQmqSgS8
",,,,"PromotionAndTreatment.hepatitisBTreatmentProvided",0,1,"",""
"PromotionAndTreatment.counsellingOnMaternalNutrition","PromotionAndTreatment.counsellingOnMaternalNutrition","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling on maternal nutrition","ANC - ANC.B10. Counselling on maternal nutrition","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#VhlH1sYU9fv
",,,,"PromotionAndTreatment.counsellingOnMaternalNutrition",0,1,"",""
"PromotionAndTreatment.counsellingInfantFeeding","PromotionAndTreatment.counsellingInfantFeeding","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling infant feeding","ANC - ANC.B10. Counselling infant feeding","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#zfF0dZSKfvj
",,,,"PromotionAndTreatment.counsellingInfantFeeding",0,1,"",""
"PromotionAndTreatment.counsellingOnTobaccoCessation","PromotionAndTreatment.counsellingOnTobaccoCessation","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling on tobacco cessation","ANC - ANC.B10. Counselling on tobacco cessation","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#Ok9OQpitjQr
",,,,"PromotionAndTreatment.counsellingOnTobaccoCessation",0,1,"",""
"PromotionAndTreatment.hypertensionDiagnosis","PromotionAndTreatment.hypertensionDiagnosis","","","",0,1,"","","","code {[]} {[]}
","ANC - ANC.B10. Hypertension diagnosis","ANC - ANC.B10. Hypertension diagnosis","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/ANCLABAnaemiaDiagnosisVS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#VJh6Dw6KcfB
",,,,"PromotionAndTreatment.hypertensionDiagnosis",0,1,"",""
"PromotionAndTreatment.preEclampsiaDiagnosis","PromotionAndTreatment.preEclampsiaDiagnosis","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Pre-eclampsia diagnosis","ANC - ANC.B10. Pre-eclampsia diagnosis","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#LKNervGK4jq
",,,,"PromotionAndTreatment.preEclampsiaDiagnosis",0,1,"",""
"PromotionAndTreatment.iptpSpDoseProvided","PromotionAndTreatment.iptpSpDoseProvided","","","",0,1,"","","","code {[]} {[]}
","ANC - ANC.B10. IPTp-SP dose provided","ANC - ANC.B10. IPTp-SP dose provided","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/IptpDose112VS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#a0ZYAtqVHCx
",,,,"PromotionAndTreatment.iptpSpDoseProvided",0,1,"",""
"PromotionAndTreatment.anaemiaDiagnosis","PromotionAndTreatment.anaemiaDiagnosis","","","",0,1,"","","","code {[]} {[]}
","ANC - ANC.B9.  Anaemia diagnosis","ANC - ANC.B9.  Anaemia diagnosis","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/ANCLABAnaemiaDiagnosisVS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#W5AuILld5eW
",,,,"PromotionAndTreatment.anaemiaDiagnosis",0,1,"",""
"PromotionAndTreatment.malariaDiagnosis","PromotionAndTreatment.malariaDiagnosis","","","",0,1,"","","","code {[]} {[]}
","ANC - ANC. Malaria diagnosis","ANC - ANC. Malaria diagnosis","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/ANCLABMalariaDiagnosisVS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#gmbQ72pvjVd
",,,,"PromotionAndTreatment.malariaDiagnosis",0,1,"",""
"PromotionAndTreatment.admitDeliver","PromotionAndTreatment.admitDeliver","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC Admit and Deliver","ANC - ANC Admit and Deliver","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#xYKSnQRs6Fq
",,,,"PromotionAndTreatment.admitDeliver",0,1,"",""
"PromotionAndTreatment.catMagnesiumSulphate","PromotionAndTreatment.catMagnesiumSulphate","","","",0,1,"","","","boolean {[]} {[]}
","ANC - CAT Magnesium Sulphate provided","ANC - CAT Magnesium Sulphate provided","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#rMyGldvXWsQ
",,,,"PromotionAndTreatment.catMagnesiumSulphate",0,1,"",""
"PromotionAndTreatment.hypertensiveTreatmentProvided","PromotionAndTreatment.hypertensiveTreatmentProvided","","","",0,1,"","","","boolean {[]} {[]}
","ANC - PAT Hypertensive Treatment Provided","ANC - PAT Hypertensive Treatment Provided","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#e2bRsC2xpto
",,,,"PromotionAndTreatment.hypertensiveTreatmentProvided",0,1,"",""
"PromotionAndTreatment.catFollowUpProvided","PromotionAndTreatment.catFollowUpProvided","","","",0,1,"","","","code {[]} {[]}
","ANC - CAT Follow up provided","ANC - CAT Follow up provided","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/FollowUpFrequencyVS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#gwytRk2Uwr6
",,,,"PromotionAndTreatment.catFollowUpProvided",0,1,"",""
"PromotionAndTreatment.catFollowUpSpecify","PromotionAndTreatment.catFollowUpSpecify","","","",0,1,"","","","string {[]} {[]}
","ANC - CAT Follow up frequency specify","ANC - CAT Follow up frequency specify","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#yoyL0k3CfgO
",,,,"PromotionAndTreatment.catFollowUpSpecify",0,1,"",""
"PromotionAndTreatment.preventiveAntihelminthicTreatmentProvided","PromotionAndTreatment.preventiveAntihelminthicTreatmentProvided","","","",0,1,"","","","code {[]} {[]}
","ANC -ANC.B10. Preventive deworming antihelminthic treatment provided","ANC -ANC.B10. Preventive deworming antihelminthic treatment provided","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/ANC.B10.PreventiveDewormingAntihelminthicTreatmentProvidedVS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#xZvctiDTfmn
",,,,"PromotionAndTreatment.preventiveAntihelminthicTreatmentProvided",0,1,"",""
"PromotionAndTreatment.prophylacticIfaProvidedAtLeast30Tablets","PromotionAndTreatment.prophylacticIfaProvidedAtLeast30Tablets","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B7. Prophylactic Iron and folic acid (IFA) provided. At least 30 tablets","ANC - ANC.B7. Prophylactic Iron and folic acid (IFA) provided. At least 30 tablets","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#f1KQDCMUyno
",,,,"PromotionAndTreatment.prophylacticIfaProvidedAtLeast30Tablets",0,1,"",""
"PromotionAndTreatment.hepatitisBDiagnosis","PromotionAndTreatment.hepatitisBDiagnosis","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B9.  Hepatitis B diagnosis","ANC - ANC.B9.  Hepatitis B diagnosis","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#ppiuaHJLXhv
",,,,"PromotionAndTreatment.hepatitisBDiagnosis",0,1,"",""
"PromotionAndTreatment.syphilisDiagnosis","PromotionAndTreatment.syphilisDiagnosis","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B9.  Syphilis diagnosis","ANC - ANC.B9.  Syphilis diagnosis","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#lja34jS4kHc
",,,,"PromotionAndTreatment.syphilisDiagnosis",0,1,"",""
"PromotionAndTreatment.counsellingBalancedEnergyProteinSupplement","PromotionAndTreatment.counsellingBalancedEnergyProteinSupplement","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling on balanced energy and protein dietary supplementation","ANC - ANC.B10. Counselling on balanced energy and protein dietary supplementation","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#vdPettzpAjK
",,,,"PromotionAndTreatment.counsellingBalancedEnergyProteinSupplement",0,1,"",""
"PromotionAndTreatment.highRiskForHiv","PromotionAndTreatment.highRiskForHiv","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B9.  High risk for HIV","ANC - ANC.B9.  High risk for HIV","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#G8eAMYZaXnH
",,,,"PromotionAndTreatment.highRiskForHiv",0,1,"",""
"PromotionAndTreatment.admitAndMonitor","PromotionAndTreatment.admitAndMonitor","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC CAT Admit and Monitor","ANC - ANC CAT Admit and Monitor","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#jDoejOIyb3a
",,,,"PromotionAndTreatment.admitAndMonitor",0,1,"",""
"PromotionAndTreatment.receivedAsReferral","PromotionAndTreatment.receivedAsReferral","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B11. Received as Referral","ANC - ANC.B11. Received as Referral","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#RrkI8hPNjmb
",,,,"PromotionAndTreatment.receivedAsReferral",0,1,"",""
"PromotionAndTreatment.ifReceivedAsReferral","PromotionAndTreatment.ifReceivedAsReferral","","","",0,1,"","","","code {[]} {[]}
","ANC - ANC.B11. If yes, received as referral from","ANC - ANC.B11. If yes, received as referral from","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/PregnantWomanReceivedAsReferralFromVS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#LRwXvqpnLAb
",,,,"PromotionAndTreatment.ifReceivedAsReferral",0,1,"",""
"PromotionAndTreatment.llinsProvided","PromotionAndTreatment.llinsProvided","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. LLINs provided","ANC - ANC.B10. LLINs provided","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#Izr0L8qbpax
",,,,"PromotionAndTreatment.llinsProvided",0,1,"",""
"PromotionAndTreatment.counsellingConductedOnSyphilis","PromotionAndTreatment.counsellingConductedOnSyphilis","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling conducted on syphilis","ANC - ANC.B10. Counselling conducted on syphilis","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#C04Rrelub1N
",,,,"PromotionAndTreatment.counsellingConductedOnSyphilis",0,1,"",""
"PromotionAndTreatment.an27cMalePartnerSyphilisTreatmentProvided","PromotionAndTreatment.an27cMalePartnerSyphilisTreatmentProvided","","","",0,1,"","","","boolean {[]} {[]}
","ANC - AN27c. Male Partner syphilis treatment provided","ANC - AN27c. Male Partner syphilis treatment provided","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#HBFvfu6dT1k
",,,,"PromotionAndTreatment.an27cMalePartnerSyphilisTreatmentProvided",0,1,"",""
"PromotionAndTreatment.counsellingOnMalariaPrevention","PromotionAndTreatment.counsellingOnMalariaPrevention","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling on malaria prevention","ANC - ANC.B10. Counselling on malaria prevention","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#V90TnwOPzNm
",,,,"PromotionAndTreatment.counsellingOnMalariaPrevention",0,1,"",""
"PromotionAndTreatment.referredToHigherLevelClinicOnIndication","PromotionAndTreatment.referredToHigherLevelClinicOnIndication","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B11. Referred to higher level clinic on indication","ANC - ANC.B11. Referred to higher level clinic on indication","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#G1smYf2TE5w
",,,,"PromotionAndTreatment.referredToHigherLevelClinicOnIndication",0,1,"",""
"PromotionAndTreatment.gestationalAgeAtVisitCat","PromotionAndTreatment.gestationalAgeAtVisitCat","","","",0,1,"","","","positiveInt {[]} {[]}
","ANC - ANC.B8. Gestational age at todays visit_CAT","ANC - ANC.B8. Gestational age at todays visit_CAT","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#KjLdMpXvJNm
",,,,"PromotionAndTreatment.gestationalAgeAtVisitCat",0,1,"",""
